city,country,country_code,latitude,longitude,population,medical_services_score,total_facilities,hospitals,clinics,health_centers,pharmacies,laboratories,other,total_beds,emergency_facilities,facilities_per_100k,health_capacity_score
Zinder,Niger,NE,13.8,8.9833,230358,26,30,1,16,0,12,0,1,0,0,13.0,45
Tlimcen,Algeria,DZ,34.8904,-1.32,229777,62,125,6,40,0,74,1,4,0,0,54.4,70
Uitenhage,South Africa,ZA,-33.7596,25.39,228912,52,4,0,0,0,4,0,0,0,0,1.7,26
Er Rachidia,Morocco,MA,31.9404,-4.45,228489,53,49,2,2,0,43,0,2,0,0,21.4,61
Gusau,Nigeria,NG,12.1704,6.66,226857,37,49,10,39,0,0,0,0,0,0,21.6,60
Sikasso,Mali,ML,11.3204,-5.68,225753,28,23,1,8,0,14,0,0,0,0,10.2,46
Mubi,Nigeria,NG,10.2703,13.27,225705,37,47,34,13,0,0,0,0,0,0,20.8,60
Nyanza,Rwanda,RW,-2.3496,29.74,225209,44,190,150,11,0,29,0,0,0,0,84.4,63
Skikda,Algeria,DZ,36.8804,6.9,225181,62,130,6,48,0,63,0,13,0,2,57.7,78
Tanga,Tanzania,TZ,-5.07,39.09,224876,36,145,12,23,0,108,2,0,0,0,64.5,59
Nacala,Mozambique,MZ,-14.5186,40.715,224795,32,16,1,15,0,0,0,0,0,0,7.1,39
Gueckedou,Guinea,GN,8.554,-10.151,221715,30,28,1,24,0,3,0,0,0,17,12.6,62
Saint-Louis,Mauritania,MR,16.02,-16.51,220792,34,1,1,0,0,0,0,0,0,0,0.5,20
Polokwane,South Africa,ZA,-23.89,29.45,220045,52,31,1,13,0,9,0,8,0,19,14.1,71
Gabès,Tunisia,TN,33.9004,10.1,219517,65,17,1,5,0,10,0,1,0,0,7.7,54
Dodoma,Tanzania,TZ,-6.1833,35.75,218269,36,160,13,109,0,35,3,0,0,1,73.3,67
Bertoua,Cameroon,CM,4.5804,13.68,218111,38,7,0,1,0,6,0,0,0,0,3.2,25
Mallawi,Egypt,EG,27.7304,30.84,217365,55,0,0,0,0,0,0,0,0,0,0.0,22
Owerri,Nigeria,NG,5.493,7.026,215038,37,26,2,5,0,18,1,0,14,3,12.1,70
Limbe,Cameroon,CM,4.0304,9.19,212474,38,68,4,40,0,22,2,0,0,0,32.0,55
San-Pedro,Ivory Coast,CI,4.7704,-6.64,210273,36,0,0,0,0,0,0,0,0,0,0.0,14
Toamasina,Madagascar,MG,-18.1818,49.405,210226,32,35,1,14,0,20,0,0,0,0,16.6,48
Ijebu Ode,Nigeria,NG,6.8204,3.92,209175,37,2,1,1,0,0,0,0,0,0,1.0,23
Tema,Ghana,GH,5.6404,0.01,209000,45,210,13,28,0,156,2,11,0,1,100.5,71
Sidi bel Abbes,Algeria,DZ,35.1903,-0.64,208604,62,217,13,75,0,111,5,13,0,1,104.0,78
Gaborone,Botswana,BW,-24.6463,25.9119,208411,48,50,3,28,0,15,0,4,0,0,24.0,59
Lobito,Angola,AO,-12.37,13.5412,207932,32,12,0,0,0,12,0,0,0,0,5.8,30
Bahir Dar,Ethiopia,ET,11.6001,37.3833,206748,34,21,5,8,0,8,0,0,0,0,10.2,59
Yamoussoukro,Ivory Coast,CI,6.8184,-5.2755,206499,36,0,0,0,0,0,0,0,0,0,0.0,14
Kalemie,Congo (Kinshasa),CD,-5.9333,29.2,206257,28,30,1,25,0,4,0,0,190,0,14.5,46
Edéa,Cameroon,CM,3.8005,10.12,203149,38,4,0,1,0,3,0,0,0,0,2.0,21
Djougou,Benin,BJ,9.7004,1.68,202810,38,4,2,0,0,2,0,0,0,0,2.0,31
Biskra,Algeria,DZ,34.86,5.73,202103,62,108,10,37,0,52,3,6,0,2,53.4,78
Al Khums,Libya,LY,32.6604,14.26,201943,58,119,16,34,0,58,0,11,0,0,58.9,68
Gedaref,Sudan,SD,14.04,35.38,201282,35,1,0,1,0,0,0,0,0,0,0.5,16
Kasama,Zambia,ZM,-10.1996,31.1799,200000,38,5,1,2,0,2,0,0,0,0,2.5,28
Nema,Mauritania,MR,16.6171,-7.25,200000,34,0,0,0,0,0,0,0,0,0,0.0,14
Az Zawiyah,Libya,LY,32.7604,12.72,200000,58,150,14,51,0,76,3,6,0,0,75.0,68
Taza,Morocco,MA,34.2204,-4.02,199633,53,60,0,0,0,60,0,0,0,0,30.1,51
Rashid,Egypt,EG,31.4604,30.39,199509,55,1,0,0,0,1,0,0,0,0,0.5,24
