city,country,country_code,latitude,longitude,population,hospitals,clinics,health_centers,pharmacies,laboratories,total_facilities,facilities_per_100k,hospital_beds_total,hospital_beds_per_10k,icu_beds_estimated,physicians_per_100k,nurses_per_100k,chw_per_100k,total_health_workers,daily_test_capacity,test_capacity_per_100k,cold_chain_score,pharma_import_dependency_pct,has_local_production,health_expenditure_per_capita,out_of_pocket_pct,jee_prevent,jee_detect,jee_respond,ghsi_overall,haq_index,medical_services_score,health_capacity_score,supply_chain_resilience_index
Dakar,Senegal,SN,14.7178,-17.4751,2604000,6,170,0,359,2,574,22.0,1365,5.2,27,9.1,43.9,30.0,2163,100,3.8,55.0,90.0,1,73.2,44.3,2.5,3.0,2.5,30.1,38.0,38.0,75.0,22.2
Tunis,Tunisia,TN,36.8028,10.1797,2412500,11,99,0,244,6,401,16.6,3283,13.6,164,92.5,132.6,15.0,5793,350,14.5,82.0,72.0,1,317.7,37.9,3.3,3.5,3.3,39.8,65.0,65.0,79.0,44.6
Omdurman,Sudan,SD,15.6167,32.48,2395159,19,43,0,279,0,348,14.5,1512,6.3,30,23.9,167.3,15.0,4939,0,0.0,38.0,88.0,1,21.1,57.4,2.0,2.3,1.8,22.0,35.0,35.0,59.0,21.0
Tripoli,Libya,LY,32.8925,13.18,2189000,51,268,0,513,0,873,39.9,6239,28.5,312,166.3,749.6,15.0,20377,0,0.0,58.0,99.0,0,470.4,19.2,2.5,2.8,2.5,24.7,58.0,58.0,68.0,52.1
Accra,Ghana,GH,5.552,-0.2187,2121000,19,121,0,437,10,613,28.9,1140,5.4,23,22.4,511.0,30.0,11950,500,23.6,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,78.0,40.0
Douala,Cameroon,CM,4.0624,9.708,1906000,3,81,0,52,0,136,7.1,572,3.0,11,1.0,35.0,20.0,1067,0,0.0,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,46.0,18.1
Rabat,Morocco,MA,34.0253,-6.8364,1705000,7,47,0,567,9,643,37.7,787,4.6,39,50.1,52.6,15.0,2006,525,30.8,82.0,70.0,1,232.2,37.3,3.3,3.5,3.3,40.7,53.0,53.0,74.0,37.1
Antananarivo,Madagascar,MG,-18.9147,47.5147,1697000,75,124,0,184,5,435,25.6,705,4.2,14,13.5,28.7,40.0,1395,191,11.3,35.0,99.0,0,17.4,27.4,2.0,2.3,1.8,20.7,32.0,32.0,58.0,14.9
Kumasi,Ghana,GH,6.6919,-1.632,1646000,19,14,0,97,2,135,8.2,1140,6.9,23,28.9,145.0,30.0,3356,100,6.1,68.0,80.0,1,70.3,26.7,2.5,3.0,2.5,32.7,45.0,45.0,66.0,29.5
Yaoundé,Cameroon,CM,3.8686,11.5147,1611000,33,293,0,108,4,446,27.7,6292,39.1,126,13.0,135.7,20.0,2717,166,10.3,48.0,90.0,1,79.1,67.7,2.0,2.5,2.0,28.0,38.0,38.0,68.0,36.6
Abuja,Nigeria,NG,9.0853,7.5314,1576000,12,18,0,60,2,92,5.8,202,1.3,4,10.6,107.7,30.0,2338,93,5.9,45.0,75.0,1,66.8,71.9,2.5,2.8,2.5,33.0,37.0,37.0,62.0,22.6
Harare,Zimbabwe,ZW,-17.8158,31.0428,1572000,7,63,0,17,1,91,5.8,3192,20.3,64,19.4,209.9,25.0,3998,46,2.9,45.0,90.0,1,62.9,10.6,2.5,2.8,2.5,26.1,40.0,40.0,56.0,31.7
Bamako,Mali,ML,12.652,-8.002,1494000,41,260,0,284,3,602,40.3,293,2.0,3,25.2,37.1,30.0,1379,114,7.6,40.0,99.0,0,34.0,47.2,2.0,2.3,1.8,21.3,28.0,28.0,64.0,15.4
Conakry,Guinea,GN,9.5335,-13.6822,1494000,11,121,0,422,8,609,40.8,237,1.6,5,6.1,24.9,30.0,911,306,20.5,35.0,99.0,0,59.3,54.4,2.0,2.3,2.0,23.1,30.0,30.0,65.0,15.6
